,CO2,CH4,N2O,F-Gases
1850-01-01 00:00:52,223.25,595.77,106.45,0.05
1851-01-01 00:00:52,231.02,611.14,109.43,0.05
1852-01-01 00:00:52,242.7,626.92,112.28,0.05
1853-01-01 00:00:52,255.68,643.38,115.19,0.05
1854-01-01 00:00:52,297.84,659.78,118.01,0.05
1855-01-01 00:00:52,307.82,676.6,120.57,0.05
1856-01-01 00:00:52,327.88,693.66,123.07,0.05
1857-01-01 00:00:52,331.64,710.77,125.08,0.05
1858-01-01 00:00:52,336.49,728.21,126.88,0.05
1859-01-01 00:00:52,358.07,745.87,128.49,0.05
1860-01-01 00:00:52,389.8,763.58,129.52,0.05
1861-01-01 00:00:52,405.73,781.75,130.51,0.05
1862-01-01 00:00:52,413.74,799.81,131.39,0.05
1863-01-01 00:00:52,445.87,817.72,132.24,0.05
1864-01-01 00:00:52,479.99,836.5,133.04,0.05
1865-01-01 00:00:52,505.11,854.76,134.17,0.05
1866-01-01 00:00:52,520.44,873.19,135.06,0.05
1867-01-01 00:00:52,566.56,892.28,135.94,0.05
1868-01-01 00:00:52,589.7,911.01,136.84,0.05
1869-01-01 00:00:52,633.23,930.02,137.74,0.05
1870-01-01 00:00:52,650.7,948.76,138.68,0.05
1871-01-01 00:00:52,689.5,968.51,141.6,0.05
1872-01-01 00:00:52,773.96,987.55,147.65,0.05
1873-01-01 00:00:52,828.11,1006.97,156.17,0.05
1874-01-01 00:00:52,779.26,1026.6,166.15,0.05
1875-01-01 00:00:52,835.49,1045.78,177.42,0.05
1876-01-01 00:00:52,842.49,1065.07,188.55,0.05
1877-01-01 00:00:52,871.31,1085.06,199.34,0.05
1878-01-01 00:00:52,870.17,1104.55,208.96,0.05
1879-01-01 00:00:52,954.76,1123.37,216.76,0.05
1880-01-01 00:00:52,1078.77,1142.8,221.57,0.05
1881-01-01 00:00:52,1120.99,1161.85,224.6,0.05
1882-01-01 00:00:52,1198.74,1181.36,227.49,0.05
1883-01-01 00:00:52,1278.37,1199.88,230.03,0.05
1884-01-01 00:00:52,1305.22,1218.86,232.13,0.05
1885-01-01 00:00:52,1318.42,1237.19,234.13,0.05
1886-01-01 00:00:52,1350.5,1255.64,236.09,0.05
1887-01-01 00:00:52,1423.22,1274.08,237.92,0.05
1888-01-01 00:00:52,1610.52,1292.22,240.44,0.05
1889-01-01 00:00:52,1573.02,1310.19,242.44,0.05
1890-01-01 00:00:52,1694.08,1331.48,252.39,0.05
1891-01-01 00:00:52,1752.42,1358.28,256.76,0.06
1892-01-01 00:00:52,1765.8,1386.62,261.16,0.09
1893-01-01 00:00:52,1747.53,1414.56,265.77,0.11
1894-01-01 00:00:52,1794.64,1442.84,270.51,0.16
1895-01-01 00:00:52,1880.12,1471.14,274.77,0.23
1896-01-01 00:00:00,1927.11,1499.87,279.19,0.33
1897-01-01 00:00:00,2000.09,1526.42,283.21,0.39
1898-01-01 00:00:00,2089.85,1553.99,287.33,0.45
1899-01-01 00:00:00,2246.47,1578.91,291.17,0.49
1/1/00 0:00,2350.95,1602.81,294.4,0.53
1/1/01 0:00,2414.5,1627.78,297.59,0.56
1/1/02 0:00,2468.78,1656.59,301.69,0.6
1/1/03 0:00,2661.94,1688.42,305.57,0.64
1/1/04 0:00,2684.89,1722.09,309.52,0.69
1/1/05 0:00,2842.15,1756.53,313.86,0.73
1/1/06 0:00,2965.51,1790.97,317.8,0.75
1/1/07 0:00,3296.8,1826.79,321.93,0.79
1/1/08 0:00,3188.17,1857.74,326.21,0.82
1/1/09 0:00,3307.93,1887.95,329.94,0.86
1/1/10 0:00,3451.91,1916.1,334.18,0.9
1/1/11 0:00,3509.22,1942.92,338.42,0.96
1/1/12 0:00,3658.34,1976.03,344.85,1
1/1/13 0:00,3920.93,2011.93,352.7,1.07
1/1/14 0:00,3613.28,2047.22,361.54,1.11
1/1/15 0:00,3573.11,2086.66,371.39,1.18
1/1/16 0:00,3828.23,2124.81,380.99,1.24
1/1/17 0:00,3981.13,2159.13,390.35,1.3
1/1/18 0:00,3945.58,2193.68,399.64,1.37
1/1/19 0:00,3484.27,2221.56,407.2,1.43
1/1/20 0:00,3966.77,2248.14,413.69,1.5
1/1/21 0:00,3532.79,2272.22,419.36,2.22
1/1/22 0:00,3688.46,2296.44,425.32,4.13
1/1/23 0:00,4151.11,2323.53,431.46,6.86
1/1/24 0:00,4158.13,2348.97,437.52,10.24
1/1/25 0:00,4194.18,2376.48,443.05,13.92
1/1/26 0:00,4141.77,2403.56,448.16,17.77
1/1/27 0:00,4499.37,2431.86,453.27,21.36
1/1/28 0:00,4488.07,2456.32,457.76,24.56
1/1/29 0:00,4803.83,2482.16,462.14,27.02
1/1/30 0:00,4476.76,2503.15,465.18,28.59
1/1/31 0:00,4045.27,2523.46,467.72,29.16
1/1/32 0:00,3696.51,2550.29,470.57,29.05
1/1/33 0:00,3868.38,2574.48,473.37,28.55
1/1/34 0:00,4160.27,2600.36,476.01,27.6
1/1/35 0:00,4352.05,2628.3,478.94,26.6
1/1/36 0:00,4726.57,2656.53,482.37,25.54
1/1/37 0:00,5031.96,2687.42,486.21,24.62
1/1/38 0:00,4772.06,2715.81,490.84,24.02
1/1/39 0:00,5021.77,2745.6,496.11,23.92
1/1/40 0:00,5434.31,2773.24,502.3,24.41
1/1/41 0:00,5574.17,2809.52,521.52,25.4
1/1/42 0:00,5615.68,2859.07,564.03,26.69
1/1/43 0:00,5813.22,2916,624.11,28.31
1/1/44 0:00,5821.58,2983.58,695.98,30.06
1/1/45 0:00,5029.19,3054.51,774.26,32.1
1/1/46 0:00,5439.99,3128.65,854.37,34.16
1/1/47 0:00,5976.79,3204.19,929.32,36.43
1/1/48 0:00,6299.69,3278.26,995.15,38.78
1/1/49 0:00,6126.92,3344.68,1046.15,41.17
1/1/50 0:00,6537.91,3405.85,1076.55,43.57
1/1/51 0:00,7000.74,3472.9,1094.71,46.12
1/1/52 0:00,7145.64,3563.86,1114.65,48.86
1/1/53 0:00,7367,3671.43,1136.03,51.86
1/1/54 0:00,7545.68,3788.13,1158.59,55.11
1/1/55 0:00,8252.66,3916.62,1183,58.37
1/1/56 0:00,8799.09,4048.28,1208.38,61.95
1/1/57 0:00,9087.44,4179.47,1235.86,65.58
1/1/58 0:00,9362.58,4305,1265.88,69.4
1/1/59 0:00,9839.19,4423.34,1296.84,73.28
1/1/60 0:00,10345.39,4525.84,1328.63,77.33
1/1/61 0:00,10364.84,4627.51,1414.65,81.75
1/1/62 0:00,10677.4,4752.3,1468.07,86.72
1/1/63 0:00,11229.31,4858.18,1517.37,92.28
1/1/64 0:00,11736.43,5002.07,1569.11,98.08
1/1/65 0:00,12227.71,5141.74,1634.46,104.21
1/1/66 0:00,12756.83,5303.71,1707.6,110.31
1/1/67 0:00,13131.6,5477.62,1770.8,116.77
1/1/68 0:00,13803.91,5660.35,1822.91,123.01
1/1/69 0:00,14661.19,5835.15,1867.16,129.18
1/1/70 0:00,15777.59,6061.49,1857.74,142.25
1/1/71 0:00,16273.91,6266.57,1901.06,153.27
1/1/72 0:00,16988.18,6460.94,1944.89,160.18
1/1/73 0:00,17892.11,6869.5,2023.19,178.86
1/1/74 0:00,17789.9,6943.96,2057.98,193.51
1/1/75 0:00,17712.38,6835.59,2097.01,182.35
1/1/76 0:00,18693.44,7176.89,2138.57,202.44
1/1/77 0:00,19137.16,7178,2167.38,221.11
1/1/78 0:00,19901.3,7420.47,2225.25,233.11
1/1/79 0:00,20415.74,7264.47,2259.7,245.83
1/1/80 0:00,20232.38,7139.98,2270.48,248.62
1/1/81 0:00,19696.82,6793.61,2264.32,248.97
1/1/82 0:00,19479.6,6797.98,2237.69,236.99
1/1/83 0:00,19624.34,6741.34,2284.15,253.96
1/1/84 0:00,20247.36,6692.82,2332.07,277.6
1/1/85 0:00,20879.53,6775.85,2325.74,275.82
1/1/86 0:00,21129.4,6835.38,2345.41,283.4
1/1/87 0:00,21858.23,6810.37,2364.97,298.51
1/1/88 0:00,22748.04,7222.02,2378.16,328.29
1/1/89 0:00,23068.11,7337.04,2397.42,344.56
1/1/90 0:00,22695.89,7043.13,2348.75,337.89
1/1/91 0:00,23134.19,7004.4,2324.52,328.92
1/1/92 0:00,22392.03,6965.59,2308.76,321.75
1/1/93 0:00,22568,6932.29,2291.04,319.05
1/1/94 0:00,22794.59,6897.87,2283.61,335.99
1/1/95 0:00,23285.02,6959.72,2357.71,369.89
1/1/96 0:00,23924.29,7024.5,2409.52,397.23
1/1/97 0:00,24052.02,6936.9,2397.28,440.77
1/1/98 0:00,23961.49,6871.13,2433.64,450.38
1/1/99 0:00,24239.78,6870.27,2405.24,488.53
1/1/00 0:00,24932.14,6956.25,2424.13,473.22
1/1/01 0:00,25163.37,7004.07,2435.86,455.17
1/1/02 0:00,25746.79,7004.24,2429.7,486.15
1/1/03 0:00,26988.81,7235.44,2482.93,502.01
1/1/04 0:00,28240.3,7387.04,2567.98,576.58
1/1/05 0:00,29233.81,7522.79,2562.15,627.31
1/1/06 0:00,30171.37,7625.63,2599.46,669.72
1/1/07 0:00,31025,7687.65,2668.21,683.73
1/1/08 0:00,31621.13,7807.59,2689.48,703.16
1/1/09 0:00,31166.62,7766.57,2723.44,688.83
1/1/10 0:00,32878.9,7910.68,2780.86,730.74
1/1/11 0:00,33888.55,8026.46,2811.2,791.18
1/1/12 0:00,34386.42,8105.83,2836.99,828.26
1/1/13 0:00,34378.16,8102.81,2900.93,855.03
1/1/14 0:00,34672.88,8161.86,2930.31,897.51
1/1/15 0:00,34698.52,8252.99,2981.49,923.03
1/1/16 0:00,34839.25,8361.68,3001.45,953.95